"","N","prior","delta","lambda","delta_median","lambda_median","b0_median","b1_median","bf10","sdr10"
"168",30,4,0.5,0.333333333333333,3.98434618746578,0.524058879569375,0.318761734994302,-0.0988927358371174,0.236605711652323,0
"169",30,2,0.5,0.333333333333333,1.59763666844587,0.490890760491816,-0.0887119241202888,-0.0245215776668809,0.279213090930729,0.392
"170",30,3,0.5,0.333333333333333,2.62293189152115,0.51247197058112,-0.0939776980416542,-0.0245142909152709,0.258841478971028,0
"171",30,4,0.5,0.333333333333333,4.11827735189805,0.539676751367323,-0.0890587063443668,-0.0249523429260698,0.243171402221416,0.283
"172",30,2,0.5,0.333333333333333,1.55946984263879,0.468117271614593,0.940407445969333,0.538352170759652,0.300941844288489,0
"173",30,3,0.5,0.333333333333333,2.55965362430833,0.501316949667591,0.935564693814375,0.533914379166709,0.274350329789504,0.234
"174",30,4,0.5,0.333333333333333,4.02612261438019,0.526526705890826,0.937795232084148,0.541728070182255,0.253621281191163,0
"175",30,2,0.5,0.333333333333333,2.12437486814032,0.303044777787696,0.924792405131326,0.27611693350962,34.9042072728211,42.23
"176",30,3,0.5,0.333333333333333,3.13976287107105,0.303888669239878,0.926622441456245,0.278506031091774,37.7034479519352,22.815
"177",30,4,0.5,0.333333333333333,4.86123524767811,0.308511724074208,0.923847861884246,0.27971395666241,37.9244527530872,1.908
"178",30,2,0.5,0.333333333333333,1.58418220932393,0.503294737943298,0.0733962438853247,-0.58187701013762,0.269366700504255,0
"179",30,3,0.5,0.333333333333333,2.57905517182156,0.531708014204626,0.0731770929525727,-0.584654727281236,0.246428145782599,0
"180",30,4,0.5,0.333333333333333,4.08474984377072,0.552270353468319,0.073134364204432,-0.577718015572256,0.228986700402573,0.396
"181",30,2,0.5,0.333333333333333,1.83217436880158,0.468644167525882,-0.473813370929999,0.57221967252291,0.835828135735164,0.746
"182",30,3,0.5,0.333333333333333,2.89588521871778,0.480985820630461,-0.473114963021728,0.570597614779358,0.822366181822321,0.641
"183",30,4,0.5,0.333333333333333,4.50680297568499,0.502339383980803,-0.469932603697907,0.569394100527547,0.789561222830636,0.601
"184",30,2,0.5,0.333333333333333,1.72581796604618,0.474421389782342,0.794501588917786,-0.684817616386975,0.51480910823478,0.446
"185",30,3,0.5,0.333333333333333,2.71655660322488,0.49938825891171,0.794384182784729,-0.693812658526606,0.495328818036221,0.498
